timestamp,song_name,artist,valence,energy,hour
23-11-2025 22:34,Young and Beautiful,Lana Del Rey,0.15,0.42,22
24-11-2025 01:15,Fade Into You,Mazzy Star,0.18,0.33,1
24-11-2025 01:20,Love wins all,IU,0.32,0.45,1
24-11-2025 01:25,Serendipity,BTS,0.23,0.58,1
24-11-2025 12:45,Arson,J-Hope,0.27,0.8,12
24-11-2025 12:49,Friends,Chase Atlantic,0.08,0.61,12
24-11-2025 12:54,luther (with sza),Kendrick Lamar,0.58,0.57,12
24-11-2025 12:59,Glimpse of Us,Joji,0.27,0.29,12
24-11-2025 13:03,All The Stars,Kendrick Lamar,0.55,0.63,13
24-11-2025 13:07,Love wins all,IU,0.32,0.45,13
24-11-2025 13:13,São Paulo,The Weekend,0.55,0.66,13
24-11-2025 13:18,Replay,SHINee,0.59,0.78,13
24-11-2025 16:21,Mantra,JENNIE,0.84,0.73,16
24-11-2025 17:37,Like Jennie,Jennie,0.82,0.74,17
24-11-2025 17:41,FE!N,Travis Scott,0.2,0.88,17
24-11-2025 19:50,Paradise,Chase Atlantic,0.3,0.8,19
24-11-2025 19:54,Into It,Chase Atlantic,0.29,0.57,19
24-11-2025 19:59,Harleys In Hawaii,Katy Perry,0.72,0.76,19
24-11-2025 23:12,Mantra,JENNIE,0.84,0.73,23
25-11-2025 02:48,Hurts So Good,Astrid S,0.38,0.61,2
25-11-2025 13:00,Dirty Work,Aespa,0.63,0.74,13
25-11-2025 13:04,Enduko Emo,Alaap Raju,0.7,0.63,13
25-11-2025 13:09,august,Taylor Swift,0.4,0.62,13
25-11-2025 16:34,FE!N,Travis Scott,0.2,0.88,16
25-11-2025 16:39,Attention,NewJeans,0.7,0.65,16
25-11-2025 16:43,Woman,Doja Cat,0.88,0.76,16
25-11-2025 16:48,FAKE LOVE,BTS,0.35,0.72,16
25-11-2025 16:51,Woman,Doja Cat,0.88,0.76,16
25-11-2025 16:56,Enduko Emo,Alaap Raju,0.7,0.63,16
25-11-2025 18:13,Jhol - Acoustic,Maanu,0.52,0.26,18
25-11-2025 18:19,Attention,NewJeans,0.7,0.65,18
25-11-2025 18:22,pov,Ariana Grande,0.17,0.53,18
25-11-2025 18:26,WOKE UP,XG,0.46,0.63,18
25-11-2025 18:31,Serendipity,BTS,0.23,0.58,18
26-11-2025 00:38,Friends,Chase Atlantic,0.08,0.61,0
26-11-2025 00:41,All The Stars,Kendrick Lamar,0.55,0.63,0
26-11-2025 00:46,Can't Help Falling in Love,Elvis Presley,0.34,0.29,0
26-11-2025 00:51,Gimme More,Britney Spears,0.38,0.84,0
26-11-2025 00:56,Mi Gente,J Balvin,0.31,0.69,0
26-11-2025 13:17,Jhol - Acoustic,Maanu,0.52,0.26,13
26-11-2025 14:46,Dirty Work,Aespa,0.63,0.74,14
26-11-2025 14:52,Attention,Charlie Puth,0.8,0.61,14
26-11-2025 18:24,Fade Into You,Mazzy Star,0.18,0.33,18
26-11-2025 22:07,supenatural,Ariana Grande,0.52,0.71,22
26-11-2025 22:12,Like Jennie,Jennie,0.82,0.74,22
26-11-2025 22:17,Enduko Emo,Alaap Raju,0.7,0.63,22
26-11-2025 22:24,Enduko Emo,Alaap Raju,0.7,0.63,22
26-11-2025 22:29,Into It,Chase Atlantic,0.29,0.57,22
26-11-2025 22:36,NO,Meghan Trainor,0.66,0.8,22
26-11-2025 22:40,Attention,NewJeans,0.7,0.65,22
28-11-2025 12:27,Enduko Emo,Alaap Raju,0.7,0.63,12
28-11-2025 13:53,Humsafar,Sachet-Parampara,0.53,0.77,13
28-11-2025 13:57,Still With You,Jung Kook,0.34,0.47,13
28-11-2025 14:02,Promise,Jimin,0.74,0.18,14
28-11-2025 14:05,Mantra,JENNIE,0.84,0.73,14
28-11-2025 14:11,Brooklyn Baby,Lana Del Rey,0.09,0.66,14
28-11-2025 14:15,Wildest Dreams,Taylor Swift,0.47,0.67,14
28-11-2025 16:53,Enduko Emo,Alaap Raju,0.7,0.63,16
28-11-2025 16:58,NO,Meghan Trainor,0.66,0.8,16
28-11-2025 19:54,Killin' It Girl,J-Hope,0.8,0.89,19
29-11-2025 00:35,lovely (with Khalid),Billie Eilish,0.12,0.3,0
29-11-2025 13:13,WOKE UP,XG,0.46,0.63,13
29-11-2025 13:17,pov,Ariana Grande,0.17,0.53,13
29-11-2025 13:23,Paper Hearts,Tori Kelly,0.24,0.23,13
29-11-2025 13:28,Mantra,JENNIE,0.84,0.73,13
29-11-2025 13:35,NO,Meghan Trainor,0.66,0.8,13
29-11-2025 13:40,Who,Jimin,0.84,0.76,13
29-11-2025 16:29,Attention,Charlie Puth,0.8,0.61,16
29-11-2025 16:34,Swim,Chase Atlantic,0.08,0.54,16
29-11-2025 16:41,luther (with sza),Kendrick Lamar,0.58,0.57,16
29-11-2025 19:38,Jhol - Acoustic,Maanu,0.52,0.26,19
29-11-2025 21:44,Magic Shop,BTS,0.28,0.66,21
29-11-2025 21:47,Friends,Chase Atlantic,0.08,0.61,21
29-11-2025 21:51,NO,Meghan Trainor,0.66,0.8,21
29-11-2025 21:55,Into It,Chase Atlantic,0.29,0.57,21
29-11-2025 23:15,Serendipity,BTS,0.23,0.58,23
